Run,Total_H_per_s,NumDevices,SpeedLines
526,9159300000.000,1,"Speed.#1.........: 9159.3 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
527,9150000000.000,1,"Speed.#1.........: 9150.0 MH/s (76.51ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
528,9162400000.000,1,"Speed.#1.........: 9162.4 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
529,9158500000.000,1,"Speed.#1.........: 9158.5 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
530,9157000000.000,1,"Speed.#1.........: 9157.0 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
531,9156900000.000,1,"Speed.#1.........: 9156.9 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
532,9156400000.000,1,"Speed.#1.........: 9156.4 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
533,9151600000.000,1,"Speed.#1.........: 9151.6 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
534,9151200000.000,1,"Speed.#1.........: 9151.2 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
535,9159500000.000,1,"Speed.#1.........: 9159.5 MH/s (76.42ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
536,9161900000.000,1,"Speed.#1.........: 9161.9 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
537,9159200000.000,1,"Speed.#1.........: 9159.2 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
538,9158300000.000,1,"Speed.#1.........: 9158.3 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
539,9159500000.000,1,"Speed.#1.........: 9159.5 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
540,9157400000.000,1,"Speed.#1.........: 9157.4 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
541,9152400000.000,1,"Speed.#1.........: 9152.4 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
542,9156600000.000,1,"Speed.#1.........: 9156.6 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
543,9152800000.000,1,"Speed.#1.........: 9152.8 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
544,9159000000.000,1,"Speed.#1.........: 9159.0 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
545,9155800000.000,1,"Speed.#1.........: 9155.8 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
546,9157600000.000,1,"Speed.#1.........: 9157.6 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
547,9154900000.000,1,"Speed.#1.........: 9154.9 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
548,9154200000.000,1,"Speed.#1.........: 9154.2 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
549,9154700000.000,1,"Speed.#1.........: 9154.7 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
550,9155600000.000,1,"Speed.#1.........: 9155.6 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
551,9158500000.000,1,"Speed.#1.........: 9158.5 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
552,9160200000.000,1,"Speed.#1.........: 9160.2 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
553,9149400000.000,1,"Speed.#1.........: 9149.4 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
554,9154100000.000,1,"Speed.#1.........: 9154.1 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
555,9156400000.000,1,"Speed.#1.........: 9156.4 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
556,9152200000.000,1,"Speed.#1.........: 9152.2 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
557,9153600000.000,1,"Speed.#1.........: 9153.6 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
558,9153200000.000,1,"Speed.#1.........: 9153.2 MH/s (76.51ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
559,9155900000.000,1,"Speed.#1.........: 9155.9 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
560,9149700000.000,1,"Speed.#1.........: 9149.7 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
561,9155500000.000,1,"Speed.#1.........: 9155.5 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
562,9156400000.000,1,"Speed.#1.........: 9156.4 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
563,9157700000.000,1,"Speed.#1.........: 9157.7 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
564,9157800000.000,1,"Speed.#1.........: 9157.8 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
565,9153900000.000,1,"Speed.#1.........: 9153.9 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
566,9155000000.000,1,"Speed.#1.........: 9155.0 MH/s (76.50ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
567,9154500000.000,1,"Speed.#1.........: 9154.5 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
568,9154500000.000,1,"Speed.#1.........: 9154.5 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
569,9149500000.000,1,"Speed.#1.........: 9149.5 MH/s (76.52ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
570,9155200000.000,1,"Speed.#1.........: 9155.2 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
571,9154200000.000,1,"Speed.#1.........: 9154.2 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
572,9155800000.000,1,"Speed.#1.........: 9155.8 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
573,9157500000.000,1,"Speed.#1.........: 9157.5 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
574,9148700000.000,1,"Speed.#1.........: 9148.7 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
575,9141800000.000,1,"Speed.#1.........: 9141.8 MH/s (76.53ms) @ Accel:16 Loops:512 Thr:1024 Vec:1"
576,9154600000.000,1,"Speed.#1.........: 9154.6 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
577,9155600000.000,1,"Speed.#1.........: 9155.6 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
578,9160900000.000,1,"Speed.#1.........: 9160.9 MH/s (76.42ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
579,9160000000.000,1,"Speed.#1.........: 9160.0 MH/s (76.44ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
580,9162300000.000,1,"Speed.#1.........: 9162.3 MH/s (76.37ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
581,9156900000.000,1,"Speed.#1.........: 9156.9 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
582,9155500000.000,1,"Speed.#1.........: 9155.5 MH/s (76.47ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
583,9157400000.000,1,"Speed.#1.........: 9157.4 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
584,9159800000.000,1,"Speed.#1.........: 9159.8 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
585,9152000000.000,1,"Speed.#1.........: 9152.0 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
586,9148000000.000,1,"Speed.#1.........: 9148.0 MH/s (76.53ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
587,9153600000.000,1,"Speed.#1.........: 9153.6 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
588,9156000000.000,1,"Speed.#1.........: 9156.0 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
589,9150300000.000,1,"Speed.#1.........: 9150.3 MH/s (76.51ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
590,9155200000.000,1,"Speed.#1.........: 9155.2 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
591,9153600000.000,1,"Speed.#1.........: 9153.6 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
592,9155000000.000,1,"Speed.#1.........: 9155.0 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
593,9154700000.000,1,"Speed.#1.........: 9154.7 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
